"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 27 23:31:49 GMT 2022","Tue Sep 27 23:31:49 GMT 2022","14","chromium","advanced.spec.ts","Advanced Tasks","","","#1. Verify that empty result list will be visible after change search query",""
"passed","Tue Sep 27 23:31:49 GMT 2022","Tue Sep 27 23:31:58 GMT 2022","9394","chromium","advanced.spec.ts","Advanced Tasks","","","#3. Verify that empty search result list will be displayed after change search area from People To Planet for the same search query",""
"passed","Tue Sep 27 23:31:49 GMT 2022","Tue Sep 27 23:31:58 GMT 2022","9498","chromium","advanced.spec.ts","Advanced Tasks","","","#5. Compare results on people partial matching by ""sky"" query from the API response vs UI search results",""
"passed","Tue Sep 27 23:31:57 GMT 2022","Tue Sep 27 23:32:01 GMT 2022","3951","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: Luke Skywalker","Verify People Search results for search query: Luke Skywalker"
"passed","Tue Sep 27 23:32:02 GMT 2022","Tue Sep 27 23:32:05 GMT 2022","2930","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: HOTH","Verify Planet Search results for search query"
"passed","Tue Sep 27 23:31:49 GMT 2022","Tue Sep 27 23:31:54 GMT 2022","4929","chromium","simpleTest.spec.ts","","","","Simple test. Verify starting page","Verify starting page to contain all elements"
"passed","Tue Sep 27 23:31:58 GMT 2022","Tue Sep 27 23:32:09 GMT 2022","10535","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: Leia Organa","Verify People Search results for search query: Leia Organa"
"passed","Tue Sep 27 23:31:59 GMT 2022","Tue Sep 27 23:32:02 GMT 2022","3038","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: tatooine","Verify Planet Search results for search query"
"passed","Tue Sep 27 23:32:04 GMT 2022","Tue Sep 27 23:32:07 GMT 2022","2662","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#8. Negative test. Verify that there is no results when Planet search query is invalid","Verify ""Not found."" search result for the invalid Planet search query"
"passed","Tue Sep 27 23:32:04 GMT 2022","Tue Sep 27 23:32:07 GMT 2022","2836","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#9. Negative test. Verify that there is no results when People search query is invalid","Verify ""Not found."" search result for the invalid People search query"
"passed","Tue Sep 27 23:31:57 GMT 2022","Tue Sep 27 23:32:00 GMT 2022","3177","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: C-3PO","Verify People Search results for search query: C-3PO"
"passed","Tue Sep 27 23:31:58 GMT 2022","Tue Sep 27 23:32:09 GMT 2022","10295","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: R2-D2","Verify People Search results for search query: R2-D2"
"passed","Tue Sep 27 23:31:54 GMT 2022","Tue Sep 27 23:31:57 GMT 2022","3513","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: Boba Fett","Verify People Search results for search query: Boba Fett"
"passed","Tue Sep 27 23:31:49 GMT 2022","Tue Sep 27 23:31:59 GMT 2022","10483","chromium","advanced.spec.ts","Advanced Tasks","","","#2. Verify that empty search result list will be displayed after change search area from Planet to People for the same search query",""
"passed","Tue Sep 27 23:31:49 GMT 2022","Tue Sep 27 23:31:57 GMT 2022","8163","chromium","advanced.spec.ts","Advanced Tasks","","","#4. Compare results on planet partial matching by ""as"" query from the API response vs UI search results",""
"passed","Tue Sep 27 23:32:00 GMT 2022","Tue Sep 27 23:32:04 GMT 2022","4096","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: corus","Verify Planet Search results for search query"
"passed","Tue Sep 27 23:32:01 GMT 2022","Tue Sep 27 23:32:04 GMT 2022","2814","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: alderaan","Verify Planet Search results for search query"
