"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 07:34:20 GMT 2022","Tue Oct 18 07:34:31 GMT 2022","11934","chromium","advanced.spec.ts","Advanced Tasks","","","#5. Compare results on people partial matching by ""sky"" query from the API response vs UI search results",""
"passed","Tue Oct 18 07:34:19 GMT 2022","Tue Oct 18 07:34:30 GMT 2022","11230","chromium","advanced.spec.ts","Advanced Tasks","","","#3. Verify that empty search result list will be displayed after change search area from People To Planet for the same search query",""
"passed","Tue Oct 18 07:34:30 GMT 2022","Tue Oct 18 07:34:35 GMT 2022","4756","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: Leia Organa","Verify People Search results for search query: Leia Organa"
"passed","Tue Oct 18 07:34:19 GMT 2022","Tue Oct 18 07:34:30 GMT 2022","10561","chromium","advanced.spec.ts","Advanced Tasks","","","#4. Compare results on planet partial matching by ""as"" query from the API response vs UI search results",""
"passed","Tue Oct 18 07:34:34 GMT 2022","Tue Oct 18 07:34:37 GMT 2022","3210","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: alderaan","Verify Planet Search results for search query"
"passed","Tue Oct 18 07:34:35 GMT 2022","Tue Oct 18 07:34:38 GMT 2022","2635","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#8. Negative test. Verify that there is no results when Planet search query is invalid","Verify ""Not found."" search result for the invalid Planet search query"
"passed","Tue Oct 18 07:34:30 GMT 2022","Tue Oct 18 07:34:34 GMT 2022","4638","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: Luke Skywalker","Verify People Search results for search query: Luke Skywalker"
"passed","Tue Oct 18 07:34:31 GMT 2022","Tue Oct 18 07:34:35 GMT 2022","4511","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: R2-D2","Verify People Search results for search query: R2-D2"
"skipped","Tue Oct 18 07:34:19 GMT 2022","Tue Oct 18 07:34:19 GMT 2022","31","chromium","advanced.spec.ts","Advanced Tasks","","","#1. Verify that empty result list will be visible after change search query",""
"passed","Tue Oct 18 07:34:36 GMT 2022","Tue Oct 18 07:34:39 GMT 2022","3032","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#9. Negative test. Verify that there is no results when People search query is invalid","Verify ""Not found."" search result for the invalid People search query"
"passed","Tue Oct 18 07:34:26 GMT 2022","Tue Oct 18 07:34:29 GMT 2022","3811","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: Boba Fett","Verify People Search results for search query: Boba Fett"
"passed","Tue Oct 18 07:34:33 GMT 2022","Tue Oct 18 07:34:36 GMT 2022","3262","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: corus","Verify Planet Search results for search query"
"passed","Tue Oct 18 07:34:29 GMT 2022","Tue Oct 18 07:34:33 GMT 2022","3871","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#6. Data Driven Test using POM. Verify People Search results for search query: C-3PO","Verify People Search results for search query: C-3PO"
"passed","Tue Oct 18 07:34:35 GMT 2022","Tue Oct 18 07:34:38 GMT 2022","3141","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: HOTH","Verify Planet Search results for search query"
"passed","Tue Oct 18 07:34:19 GMT 2022","Tue Oct 18 07:34:30 GMT 2022","10655","chromium","advanced.spec.ts","Advanced Tasks","","","#2. Verify that empty search result list will be displayed after change search area from Planet to People for the same search query",""
"passed","Tue Oct 18 07:34:19 GMT 2022","Tue Oct 18 07:34:25 GMT 2022","6616","chromium","simpleTest.spec.ts","","","","Simple test. Verify starting page","Verify starting page to contain all elements"
"passed","Tue Oct 18 07:34:31 GMT 2022","Tue Oct 18 07:34:36 GMT 2022","4080","chromium","starWars.spec.ts","Verify search functionality for Star Wars Search Portal","","","#7. Data Driven Test using POM and DTO models. Verify Planet Search results with the API response for query: tatooine","Verify Planet Search results for search query"
